"pose","bet"
"low power","yes"
"low power","yes"
"low power","yes"
"low power","no"
"low power","no"
"low power","no"
"low power","no"
"low power","no"
"low power","no"
"low power","no"
"low power","no"
"low power","no"
"low power","no"
"low power","no"
"low power","no"
"low power","no"
"low power","no"
"low power","no"
"low power","no"
"low power","no"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","yes"
"high power","no"
"high power","no"
"high power","no"
"high power","no"
